SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,0.1023712383613841,0,0,0,0,1,0,1,1,0,-0.5219756496159262,-0.26328951075742124,True,False,False,False,False,False,True,False
0,1,1,-0.7117434584104956,1,0,1,0,0,0,0,0,0,0.3374778078243394,-0.5048149695448421,True,True,False,False,False,False,False,True
0,1,1,-0.7931549280876836,0,0,1,1,0,1,0,0,0,-0.8090131942822701,-0.7512139651301911,True,False,False,False,True,False,False,True
0,1,0,-0.2639803751859618,1,0,0,1,1,0,1,1,1,0.2843841579438598,-0.17369985457568482,False,False,False,False,True,True,False,False
0,1,1,-1.2816237461508113,1,0,0,0,0,0,0,0,0,-0.6762790695810708,-0.9908514772301261,True,False,False,False,False,False,True,False
0,0,1,1.3642490183577978,1,0,0,1,1,1,1,1,1,0.48348534499565887,1.270974512983176,True,False,False,False,True,True,False,False
0,0,0,-1.2816237461508113,1,0,0,0,0,0,0,0,0,-1.497571466169742,-1.0017181471173986,False,False,True,False,False,True,False,False
0,1,0,0.30589991255435406,1,1,0,1,0,0,0,0,0,-0.27641751891870747,0.03414990399542036,False,False,False,False,False,True,False,False
0,1,0,1.3235432835192036,1,0,0,0,0,1,1,0,1,-0.17023021915774814,0.6616067902944623,False,False,False,False,True,True,False,False
0,0,0,1.1200146093262338,1,1,0,0,1,1,1,1,0,0.5183280527297236,1.1177215382699435,False,False,False,True,False,True,False,False
1,0,0,-1.1188008067964355,1,0,1,1,0,1,0,0,0,-0.1669118660402181,-0.8840288193079675,False,False,False,False,False,True,False,False
0,1,1,-1.1188008067964355,1,0,1,0,0,0,0,0,1,-0.5153389433808665,-0.9083086918237725,False,False,False,False,False,False,False,True
0,0,0,-1.2409180113122174,1,0,1,0,0,0,0,0,0,-0.46390447005915153,-0.9563854737492816,False,False,False,False,False,False,False,True
0,1,1,-0.10115743583158582,1,1,1,1,1,1,0,0,0,0.08860132400959055,-0.13220893318791666,True,False,False,False,False,False,True,False
0,1,0,0.14307697319997809,1,1,0,0,0,0,1,1,1,1.0111034906829266,0.5149616289874299,True,True,False,False,False,False,True,False
0,1,1,0.9164859351332638,1,0,0,0,0,0,0,0,1,0.1367174442137754,0.6767103637943483,False,True,False,False,True,True,False,False
0,0,0,-0.06045170099299184,1,1,1,0,1,0,0,0,1,0.6576988836659831,0.1370210455949345,False,True,False,False,False,True,False,False
1,1,1,-0.1825689055087738,0,0,0,0,0,0,1,0,1,-0.9633166142474143,-0.5829232755224499,False,False,False,False,False,False,True,False
0,0,0,-0.6710377235719016,1,0,0,0,0,0,0,0,0,-1.5257774676687466,-0.8669275347783001,True,False,True,False,True,True,False,False
0,0,0,-1.0780950719578415,1,0,0,0,0,0,0,0,0,-1.4859572302583868,-0.9531144963488704,True,False,True,False,False,False,False,False
1,1,0,-0.22327464034736777,1,1,1,0,1,0,0,0,1,0.695859944517578,-0.035660217704634,True,True,False,True,False,False,True,False
0,0,0,1.0386031396490458,1,1,0,0,0,0,0,0,1,-1.3150620447055927,-0.36308725077265624,True,False,True,False,True,True,False,False
0,1,1,1.6084834273893616,1,1,1,1,1,1,0,1,1,1.326347036848275,2.384665482783634,True,True,False,False,True,True,False,False
0,0,0,-0.1825689055087738,0,0,0,0,1,1,0,0,1,-0.9682941439237093,-0.5883017282949384,False,False,False,False,False,False,False,True
0,1,1,0.30589991255435406,1,0,0,0,1,0,1,0,1,0.667653943018573,0.4629113778708172,True,True,False,True,False,False,True,False
0,0,0,-1.2816237461508113,1,0,0,0,0,0,0,0,0,-1.4743429943470319,-1.001410806958971,True,False,True,False,False,False,False,True
0,0,0,-1.1188008067964355,1,0,0,0,0,0,0,1,1,0.5000771105833088,-0.82930031823934,False,True,False,False,False,False,True,False
0,0,0,-1.2816237461508113,1,0,0,0,0,0,0,0,1,0.14169497389007057,-0.9800287130797719,False,True,False,False,False,False,True,False
0,0,1,-0.8338606629262776,1,1,0,1,1,0,1,1,1,1.3396204493183947,-0.45032795002926496,False,True,False,False,False,False,True,False
0,0,0,-1.1188008067964355,1,0,0,0,0,1,1,1,1,1.034331962505636,-0.8113428718397662,True,True,False,False,False,False,True,False
0,1,0,1.5677776925507676,1,0,1,1,1,1,1,1,1,0.7024966507526377,1.6440854653146613,True,False,False,False,True,False,False,False
